Key;English;Spanish;German;Polish;French;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
TRI_absolute_monarchy_2;Tripoli;x;
DAI;Vietnam;x;
DAI_absolute_monarchy_2;Dai Nam;x;
DAI_absolute_monarchy;Dai Nam;x;
JAV;Indonesia;x;
JAV_absolute_monarchy_2;Java;x;
LUA;Laos;x;
LUA_absolute_monarchy_2;Luang Prabang;x;
IBE;The Iberian Union;x;
IBE_empire;The Iberian Empire;x;
JAP_prussian_constitutionalism;Imperial Japan;x;
JAP_empire;The Japanese Empire;x;
ITA_theocracy;Pontifical Italy;x;
GCF;The Holy Roman Empire;x;
GCF_confederation;The German Confederation;x;
GCF_republic;The German Confederation;x;
HOL;Holstein;x;
GLZ;Galitzia-Lodomeria;x;
KUW;Kuwait;x;
PBC;Peru-Bolivian Confederation;x;
PBC_ADJ;Peru-Bolivian;x;
SPE;South Peru;x;
SPE_ADJ;South Peruan;x;
SNM;Republic of San Marco;x;
SNM_ADJ;Venetian;x;
TRC;Transcaucasia;x;
CIR;Circassia;x;
AUS_empire;The Austrian Empire;x;
MEX_empire;The Mexican Empire;x;+
NEU;Neuchatel;x;
FLO;Florida;x;
USA;The United States;x;
USA_democracy;The United States;x;
CSA;The Confederate States;x;
RGS;Rio Grande Do Sul;x;
CSA_democracy;The Confederate States;x;
COR;Corrientes;x;
ENR;Entre Rios;x;
ARC;Argentine Confederation;x;
SPC;Carlist Spain;x;
SPC_empire;The Spanish Empire;x;
BRZ_empire;The Empire of Brazil;x;
VNS;Viceroyalty of New Spain;x;
VNG;Viceroyalty of Granada;x;
VDP;Viceroyalty of Peru;x;
VRP;Viceroyalty of Rio de la Plata;x;
SIL;Silesia;x;
REU;Reuss;x;
ALT;Altenburg;x;
SCW;Schwarzburg;x;
FRA_absolute_monarchy_2;Kingdom of France;x;
FRA_absolute_monarchy;Kingdom of France;x;
DNC_confederation;The Danubian Confederation;x;
DNC_ADJ;Danubian;x;
DNC;The Danubian State;x;
SCW_ADJ;Schwarzburgian;x;
BLC_ADJ;African;x;
REU_ADJ;Reuss;x;
ALT_ADJ;Altenburgian;x;
SIL_ADJ;Silesian;x;
JAN_empire;The Polar Empire;x;
HND_dominion;The Raj;x;
BAY;Bayazid;x;
HAK;Hakkari;x;
SOR;Soran;x;
BAA;Baban;x;
BIT;Sudan;x;
BIT_absolute_monarchy_2;Bitlis;x;
BOK;Bokhti;x;
BTH;Bohtan;x;
NIT;North Italy;x;
NIT_confederation;North Italian Confederation;x;
SIT;South Italy;x;
SIT_confederation;South Italian Confederation;x;
JLL;Jelali;x;
SHK;Shakak;x;
ARD;Ardalan;x;
DNG;Dunggala;x;
SAK;Siak;x;
JMB;Jambi;x;
BNJ;Banjar;x;
KTW;Kotawar;x;
PME;Pome;x;
GOW;Gowa;x;
RUS_absolute_monarchy;The Russian Empire;x;
AUS_absolute_monarchy;The Austrian Empire;x;+
RUS_absolute_monarchy_2;The Russian Empire;x;
AUS_absolute_monarchy_2;The Austrian Empire;x;
FRA_empire;The French Empire;x;
NGF;The North German Federation;x;
RSF;Russian SFSR;x;
RSF_ADJ;Russian;x;
GAL;Galicia;x;
GAL_ADJ;Galician;x;
OCT;Occitanie;x;
OCT_ADJ;Occitanian;x;
BRT;Brittany;x;
BRT_ADJ;Brittanian;x;
WLS;Wales;x;
NIE;Nien Militias;x;
NIE_ADJ;Nien;x;
WLS_ADJ;Walessian;x;
CLB_ADJ;African;x;
KKH;Kazakh Khanate;x;
GER_proletarian_dictatorship;Communist Germany;x;
GER_fascist_dictatorship;German Reich;x;
GER_empire;The German Empire;x;
CHI_democracy;Republic of China;x;
GER_hms_government;The German Empire;x;
QNG;The Qing Empire;x;
QNG_ADJ;Chinese;x;
TRC_ADJ;Transcaucasian;x;
DNG_ADJ;Dunggalan;x;
SAK_ADJ;Siakan;x;
JMB_ADJ;Jambian;x;
BNJ_ADJ;Banjarian;x;
KTW_ADJ;Kotawarian;x;
PME_ADJ;Pomian;x;
GOW_ADJ;Gowan;x;
JLL_ADJ;Persian;x;
SHK_ADJ;Persian;x;
ARD_ADJ;Persian;x;
NIT_ADJ;North Italian;x;
SIT_ADJ;South Italian;x;
BTH_ADJ;Kurdish;x;
BAY_ADJ;Kurdish;x;
HAK_ADJ;Kurdish;x;
SOR_ADJ;Kurdish;x;
BAA_ADJ;Kurdish;x;
BIT_ADJ;Arabian;x;
BOK_ADJ;Kurdish;x;
COR_ADJ;Argentinian;x;
ENR_ADJ;Argentinian;x;
ARC_ADJ;Argentinian;x;
SPC_ADJ;Spanish;x;
RUS_empire;The Russian Empire;x;
RGS_ADJ;Rio Grandese;x;
VNS_ADJ;Spanish;x;
VNG_ADJ;Spanish;x;
VDP_ADJ;Spanish;x;
VRP_ADJ;Spanish;x;
FLO_ADJ;Floridan;x;
NEU_ADJ;Swiss;x;
ETH_ADJ;Abyssinian;x;
KUW_ADJ;Kuwaiti;x;
GLZ_ADJ;Galitzian;x;
GCF_ADJ;German;x;
IBE_ADJ;Iberian;x;
CHO_ADJ;Japanese;x;
SAT_ADJ;Japanese;x;
SHJ_ADJ;Shogunate;x;
IMJ_ADJ;Japanese;x;
KAG_ADJ;Japanese;x;
YON_ADJ;Japanese;x;
SEN_ADJ;Japanese;x;
KON_ADJ;African;x;
LOA_ADJ;African;x;
KAB_ADJ;African;x;
OYO_ADJ;African;x;
DAH_ADJ;African;x;
ASH_ADJ;African;x;
FUT_ADJ;African;x;
FUJ_ADJ;African;x;
KNG_ADJ;African;x;
MAS_ADJ;African;x;
BAM_ADJ;African;x;
WOL_ADJ;African;x;
GBU_ADJ;African;x;
WRS_ADJ;African;x;
MAJ_ADJ;African;x;
GEL_ADJ;African;x;
ARO_ADJ;African;x;
BEN_ADJ;African;x;
CAL_ADJ;African;x;
DAM_ADJ;African;x;
LUN_ADJ;African;x;
DND_ADJ;African;x;
MOS_ADJ;African;x;
HAR_ADJ;African;x;
SHW_ADJ;African;x;
GON_ADJ;African;x;
ZAN_ADJ;African;x;
ORA_ADJ;African;x;
TRN_ADJ;African;x;
ZUL_ADJ;African;x;
TUE_ADJ;Toucoleur;x;
SNG_ADJ;Songhai;x;
